code_departement;siren;nom;type;population
01;200029999;CC Rives de l'Ain - Pays du Cerdon;CC;15 282
01;200040350;CC Bugey Sud;CC;35 174
01;200042497;CC Dombes Saône Vallée;CC;42 613
01;200042935;CA Haut-Bugey Agglomération;CA;65 736
01;200069193;CC de la Dombes;CC;41 866
01;200070118;CC Val de Saône Centre;CC;21 610
01;200070555;CC de la Veyle;CC;23 898
01;200071371;CC Bresse et Saône;CC;26 438
01;200071751;CA du Bassin de Bourg-en-Bresse;CA;140 725
01;240100610;CC de la Côtière à Montluel;CC;26 414
01;240100750;CA du Pays de Gex;CA;109 288
01;240100800;CC de Miribel et du Plateau;CC;25 824
01;240100883;CC de la Plaine de l'Ain;CC;85 650
01;240100891;CC Terre Valserhône (CCTV);CC;22 682
02;200040426;CC du Val de l'Oise;CC;16 097
02;200043495;CA du Pays de Laon;CA;42 824
02;200071769;CC Picardie des Châteaux;CC;16 860
02;200071785;CA Chauny Tergnier La Fère;CA;55 212
02;200071892;CA du Saint-Quentinois;CA;80 707
02;200071983;CC Thiérache Sambre et Oise;CC;16 572
02;200071991;CC Retz en Valois;CC;29 910
02;200072031;CA de la Région de Château-Thierry;CA;55 121
02;240200444;CC de la Thiérache du Centre;CC;26 489
02;240200469;CC du Pays de la Serre;CC;14 557
02;240200477;CA GrandSoissons Agglomération;CA;52 853
02;240200493;CC du Pays du Vermandois;CC;31 077
02;240200501;CC du Val de l'Aisne;CC;20 647
02;240200519;CC du Canton d'Oulchy-le-Château;CC;5 621
02;240200576;CC de la Champagne Picarde;CC;21 295
02;240200584;CC du Canton de Charly-sur-Marne;CC;15 475
02;240200592;CC du Chemin des Dames;CC;5 594
02;240200600;CC des Trois Rivières;CC;20 658
02;240200634;CC des Portes de la Thiérache;CC;6 733
03;200071082;CA Montluçon Communauté;CA;60 656
03;200071140;CA Moulins Communauté;CA;66 224
03;200071363;CA Vichy Communauté;CA;85 895
03;200071389;CC Saint-Pourçain Sioule Limagne;CC;34 492
03;200071470;CC Entr'Allier Besbre et Loire;CC;24 801
03;200071496;CC du Bocage Bourbonnais;CC;13 845
03;200071512;CC Commentry Montmarault Néris Communauté;CC;25 795
03;240300491;CC du Pays de Lapalisse;CC;8 667
03;240300558;CC du Pays de Tronçais;CC;7 498
03;240300566;CC du Val de Cher;CC;5 547
03;240300657;CC du Pays d'Huriel;CC;7 427
04;200034700;CA Durance-Lubéron-Verdon Agglomération;CA;65 246
04;200067437;CA Provence-Alpes-Agglomération;CA;50 634
04;200068625;"CC Alpes-Provence-Verdon ""Sources de lumière""";CC;11 709
04;200068765;CC du Sisteronais-Buëch;CC;26 306
04;200071025;CC Haute-Provence - Pays de Banon;CC;10 338
04;200071033;CC Jabron-Lure-Vançon-Durance;CC;5 598
04;200072304;CC Vallée de l'Ubaye - Serre-Ponçon;CC;7 920
04;240400440;CC Pays Forcalquier et Montagne de Lure;CC;10 258
05;200067320;CC Serre-Ponçon Val d'Avance;CC;8 080
05;200067445;CC Buëch-Dévoluy;CC;9 928
05;200067452;CC du Guillestrois et du Queyras;CC;8 205
05;200067742;CC Serre-Ponçon;CC;17 651
05;200067825;CA Gap-Tallard-Durance;CA;53 155
05;200068096;CC Champsaur-Valgaudemar;CC;12 005
05;240500439;CC du Briançonnais;CC;20 114
05;240500462;CC du Pays des Ecrins;CC;6 777
06;200030195;Métropole Nice Côte d'Azur;METRO;579 965
06;200039857;CA du Pays de Grasse;CA;106 855
06;200039915;CA Cannes Pays de Lérins;CA;160 885
06;200039931;CC Alpes d'Azur;CC;10 112
06;240600551;CA de la Riviera Française;CA;72 733
06;240600585;CA de Sophia Antipolis;CA;190 146
06;240600593;CC du Pays des Paillons;CC;21 807
07;200016905;CC du Pays de Lamastre;CC;6 808
07;200039808;CC des Gorges de l'Ardèche;CC;16 069
07;200039824;CC Ardèche des Sources et Volcans;CC;9 932
07;200039832;CC Pays des Vans en Cévennes;CC;9 743
07;200041366;CC Rhône Crussol;CC;35 634
07;200041465;CC Val Eyrieux;CC;12 572
07;200071405;CC Ardèche Rhône Coiron;CC;23 457
07;200071413;CA Privas Centre Ardèche;CA;45 447
07;200072007;CC Montagne d'Ardèche;CC;4 916
07;200072015;CA Annonay Rhône Agglo;CA;52 152
07;200073096;CA Arche Agglo;CA;60 860
07;200073245;CC du Bassin d'Aubenas;CC;42 176
07;240700302;CC du Pays Beaume-Drobie;CC;9 394
07;240700617;CC Val de Ligne;CC;6 179
07;240700716;CC du Val d'Ay;CC;6 033
07;240700815;CC Berg et Coiron;CC;8 201
07;240700864;CC du Rhône aux Gorges de l'Ardèche;CC;19 746
08;200041622;CC Ardennes Thiérache;CC;9 564
08;200041630;CA Ardenne Métropole;CA;122 709
08;200043156;CC du Pays Rethélois;CC;30 534
08;200067759;CC Vallées et Plateau d'Ardenne;CC;24 250
08;240800821;CC Ardenne, Rives de Meuse;CC;26 090
08;240800847;CC des Portes du Luxembourg;CC;19 630
08;240800862;CC des Crêtes Préardennaises;CC;21 952
08;240800920;CC de l'Argonne Ardennaise;CC;16 875
09;200044469;CC du Pays de Mirepoix;CC;10 964
09;200066223;CC Arize Lèze;CC;11 220
09;200066231;CC des Portes d'Ariège Pyrénées;CC;41 715
09;200066363;CC de la Haute Ariège;CC;7 404
09;200067791;CA L'Agglo Foix-Varilhes;CA;33 679
09;200067940;CC Couserans-Pyrénées;CC;30 911
09;240900431;CC du Pays de Tarascon;CC;8 765
09;240900464;CC du Pays d'Olmes;CC;15 026
10;200000545;CC des Portes de Romilly sur Seine;CC;19 391
10;200006716;CC du Nogentais;CC;16 536
10;200040137;CC des Lacs de Champagne;CC;9 009
10;200066892;CC de Vendeuvre-Soulaines;CC;7 442
10;200069003;CC du Barséquanais en Champagne;CC;18 688
10;200069250;CA Troyes Champagne Métropole;CA;179 642
10;200070126;CC Seine et Aube;CC;10 360
10;200071041;CC du Chaourçois et du Val d'Armance;CC;10 445
10;200071777;CC d'Arcis, Mailly, Ramerupt;CC;11 991
10;241000223;CC Forêts, Lacs, Terres en Champagne;CC;6 923
10;241000405;CC de la Région de Bar sur Aube;CC;10 710
10;241000447;CC du Pays d'Othe;CC;7 558
10;241000488;CC de l'Orvin et de l'Ardusson;CC;8 601
11;200035707;CC Piège Lauragais Malepère;CC;16 880
11;200035715;CA Carcassonne Agglo;CA;116 840
11;200035855;CC Castelnaudary Lauragais Audois;CC;28 729
11;200035863;CC Région Lézignanaise, Corbières et Minervois;CC;33 832
11;200042463;CC de la Montagne Noire;CC;6 173
11;200043776;CC Pyrénées audoises;CC;13 906
11;200071926;CC du Limouxin;CC;28 854
11;241100593;CA Le Grand Narbonne;CA;136 925
12;200067064;CC Decazeville Communauté;CC;18 467
12;200067155;CC Saint Affricain, Roquefort, Sept Vallons;CC;14 079
12;200067163;CC Monts, Rance et Rougier;CC;6 616
12;200067171;CC Aubrac Carladez Viadène;CC;10 072
12;200067478;CC Comtal Lot et Truyère;CC;20 527
12;200068484;CC des Causses à l'Aubrac;CC;14 807
12;200068831;CC Pays Ségali Communauté;CC;19 025
12;200069383;CC Ouest Aveyron Communauté;CC;28 067
12;241200187;CA Rodez Agglomération;CA;59 002
12;241200542;CC du Réquistanais;CC;5 294
12;241200567;CC de Millau Grands Causses;CC;30 457
12;241200625;CC du Pays Rignacois;CC;5 852
12;241200641;CC Conques-Marcillac;CC;12 466
12;241200674;CC du Plateau de Montbazens;CC;6 383
12;241200807;CC Aveyron Bas Ségala Viaur;CC;5 765
12;241200906;CC Larzac et Vallées;CC;6 844
12;241200914;CC de la Muse et des Raspes du Tarn;CC;5 450
12;994579670;CC du Lévézou;CC;13 758
13;200035087;CA Terre de Provence;CA;61 643
13;200054807;Métropole d'Aix-Marseille-Provence;METRO;1 961 169
13;241300375;CC Vallée des Baux-Alpilles (CC VBA);CC;28 385
13;241300417;CA d'Arles-Crau-Camargue-Montagnette;CA;86 741
14;200065563;CC Normandie-Cabourg-Pays d'Auge;CC;32 517
14;200065589;CC Val ès Dunes;CC;21 027
14;200065597;CU Caen la Mer;CU;285 877
14;200066710;CC Cingal-Suisse Normande;CC;23 970
14;200066728;CC Vallées de l'Orne et de l'Odon;CC;27 046
14;200066801;CC Isigny-Omaha Intercom;CC;26 888
14;200066827;CC du Pays de Honfleur-Beuzeville;CC;27 523
14;200068799;CC Intercom de la Vire au Noireau;CC;47 680
14;200069516;CC Seulles Terre et Mer;CC;17 364
14;200069524;CC Pré-Bocage Intercom;CC;25 520
14;200069532;CA Lisieux Normandie;CA;74 413
14;241400415;CC Coeur Côte Fleurie;CC;21 045
14;241400514;CC du Pays de Falaise;CC;27 929
14;241400555;CC de Bayeux Intercom;CC;30 529
