siren_epci;insee;siren;nom;population
200029999;01056;210100566;Boyeux-Saint-Jérôme;375
200029999;01068;210100681;Cerdon;762
200029999;01077;210100772;Challes-la-Montagne;185
200029999;01199;210101994;Jujurieux;2 296
200029999;01200;210102000;Labalme;210
200029999;01242;210102422;Mérignat;131
200029999;01273;210102737;Neuville-sur-Ain;1 819
200029999;01303;210103032;Poncin;1 828
200029999;01304;210103040;Pont-d'Ain;2 893
200029999;01314;210103149;Priay;1 865
200029999;01331;210103313;Saint-Alban;196
200029999;01363;210103636;Saint-Jean-le-Vieux;1 899
200029999;01404;210104048;Serrières-sur-Ain;137
200029999;01430;210104303;Varambon;686
200040350;01006;210100061;Ambléon;115
200040350;01009;210100095;Andert-et-Condon;356
200040350;01015;200053668;Arboys en Bugey;720
200040350;01019;210100194;Armix;28
200040350;01022;210100228;Artemare;1 152
200040350;01453;200086403;Arvière-en-Valromey;732
200040350;01034;210100343;Belley;9 695
200040350;01058;210100582;Brégnier-Cordon;823
200040350;01061;210100616;Brens;1 157
200040350;01073;210100731;Ceyzérieu;1 085
200040350;01079;210100798;Champagne-en-Valromey;851
200040350;01098;200063121;Chazey-Bons;1 162
200040350;01100;210101002;Cheignieu-la-Balme;134
200040350;01110;210101101;Colomieu;159
200040350;01116;210101168;Contrevoz;508
200040350;01117;210101176;Conzieu;160
200040350;01133;210101333;Cressin-Rochefort;385
200040350;01138;200099406;Culoz-Béon;3 507
200040350;01141;210101416;Cuzieu;430
200040350;01162;210101622;Flaxieu;73
200040350;01338;200060143;Groslée-Saint-Benoit;1 250
200040350;01187;931304075;Haut Valromey;821
200040350;01193;210101937;Izieu;233
200040350;01066;210100665;La Burbanche;101
200040350;01208;210102083;Lavours;139
200040350;01227;200084978;Magnieu;663
200040350;01234;210102349;Marignieu;164
200040350;01239;210102398;Massignieu-de-Rives;659
200040350;01268;210102687;Murs-et-Gélignieux;243
200040350;01286;200059913;Parves et Nattages;988
200040350;01294;210102943;Peyrieu;959
200040350;01302;210103024;Pollieu;171
200040350;01310;210103107;Prémeyzel;246
200040350;01329;210103297;Rossillon;167
200040350;01358;210103586;Saint-Germain-les-Paroisses;430
200040350;01372;210103727;Saint-Martin-de-Bavel;442
200040350;01415;210104154;Talissieu;514
200040350;01036;200086411;Valromey-sur-Séran;1 376
200040350;01452;210104527;Virieu-le-Grand;1 130
200040350;01454;210104543;Virignin;1 169
200040350;01456;210104568;Vongnes;77
200042497;01005;210100053;Ambérieux-en-Dombes;1 930
200042497;01021;210100210;Ars-sur-Formans;1 557
200042497;01030;210100301;Beauregard;883
200042497;01105;210101051;Civrieux;2 074
200042497;01157;210101572;Fareins;2 592
200042497;01166;210101663;Frans;2 619
200042497;01238;210102380;Massieux;2 907
200042497;01250;210102505;Misérieux;2 284
200042497;01285;210102851;Parcieux;1 346
200042497;01318;210103180;Rancé;790
200042497;01322;210103222;Reyrieux;5 466
200042497;01339;210103396;Saint-Bernard;1 619
200042497;01347;210103479;Saint-Didier-de-Formans;2 270
200042497;01353;210103537;Sainte-Euphémie;1 796
200042497;01362;210103628;Saint-Jean-de-Thurigneux;874
200042497;01398;210103982;Savigneux;1 490
200042497;01423;210104238;Toussieux;1 271
200042497;01427;210104279;Trévoux;7 181
200042497;01446;210104469;Villeneuve;1 664
200042935;01011;210100111;Apremont;426
200042935;01012;210100129;Aranc;344
200042935;01014;210100145;Arbent;3 635
200042935;01170;210101705;Béard-Géovreissiat;1 085
200042935;01035;210100350;Belleydoux;314
200042935;01031;210100319;Bellignat;3 796
200042935;01051;210100517;Bolozon;103
200042935;01060;210100608;Brénod;587
200042935;01063;210100632;Brion;608
200042935;01067;210100673;Ceignes;265
200042935;01080;200056695;Champdor-Corcelles;680
200042935;01087;210100871;Charix;288
200042935;01101;210101010;Chevillard;157
200042935;01112;210101127;Condamine;486
200042935;01121;210101218;Corlier;117
200042935;01148;210101481;Dortan;2 115
200042935;01152;210101523;Échallon;810
200042935;01155;210101556;Évosges;147
200042935;01171;210101713;Géovreisset;873
200042935;01181;210101812;Groissiat;1 260
200042935;01191;210101911;Izenave;168
200042935;01192;210101929;Izernore;2 354
200042935;01206;210102067;Lantenay;271
200042935;01204;200053395;Le Poizat-Lalleyriat;751
200042935;01274;210102745;Les Neyrolles;642
200042935;01214;210102141;Leyssard;169
200042935;01228;210102281;Maillat;686
200042935;01237;210102372;Martignat;1 704
200042935;01240;210102406;Matafelon-Granges;641
200042935;01265;210102653;Montréal-la-Cluse;3 655
200042935;01269;210102695;Nantua;3 586
200042935;01267;210102679;Nurieux-Volognat;994
200042935;01282;210102828;Outriaz;266
200042935;01283;210102836;Oyonnax;22 923
200042935;01293;210102935;Peyriat;157
200042935;01185;200086122;Plateau d'Hauteville;5 012
200042935;01307;210103073;Port;858
200042935;01311;210103115;Prémillieu;50
200042935;01373;210103735;Saint-Martin-du-Frêne;1 054
200042935;01392;210103925;Samognat;659
200042935;01410;210104105;Sonthonnax-la-Montagne;304
200042935;01441;210104410;Vieu-d'Izenave;736
200069193;01028;210100285;Baneins;638
200069193;01045;210100459;Birieux;282
200069193;01052;210100525;Bouligneux;324
200069193;01074;210100749;Chalamont;2 570
200069193;01083;210100830;Chaneins;1 065
200069193;01090;210100905;Châtenay;383
